"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"100001","302015","和歌山-1","地価公示","住宅","和歌山市","園部字下田出５９６番５４","","135.1880082","34.26532584","148,000 ","145,000 ","145,000 ","144,000 ","143,000 ","140,000 ","125,000 ","114,000 ","104,000 ","95,200 ","86,100 ","78,200 ","71,900 ","67,700 ","65,000 ","63,000 ","61,100 ","58,900 ","56,600 ","54,400 ","52,800 ","51,700 ","50,800 "," 50,300 "," 50,000 ","135.18800819981","34.2653258400389","H29地価公示標準地"
"100003","302015","和歌山-3","地価公示","住宅","和歌山市","紀三井寺字中洲新畑７６８番２９","","135.1835399","34.18981662","174,000 ","170,000 ","170,000 ","169,000 ","164,000 ","160,000 ","152,000 ","146,000 ","143,000 ","138,000 ","131,000 ","122,000 ","114,000 ","108,000 ","105,000 ","104,000 ","98,000 ","92,100 ","86,200 ","81,000 ","75,500 ","72,900 ","72,000 "," 71,600 "," 71,300 ","135.183539900146","34.1898166200362","H29地価公示標準地"
"100004","302015","和歌山-4","地価公示","住宅","和歌山市","芝ノ丁２１番","","135.1678485","34.22140556","","","","","","","","","","","","","","","","","","152,000 ","148,000 ","146,000 ","144,000 ","144,000 ","146,000 "," 148,000 "," 150,000 ","135.167848500124","34.2214055599713","H29地価公示標準地"
"100005","302015","和歌山-5","地価公示","住宅","和歌山市","鷹匠町４丁目１０番２","","135.1765967","34.22089872","231,000 ","220,000 ","216,000 ","210,000 ","202,000 ","188,000 ","168,000 ","159,000 ","151,000 ","143,000 ","134,000 ","125,000 ","117,000 ","111,000 ","108,000 ","108,000 ","106,000 ","103,000 ","100,000 ","99,000 ","98,200 ","97,700 ","97,300 "," 97,300 "," 97,300 ","135.176596700184","34.2208987199679","H29地価公示標準地"
"100006","302015","和歌山-6","地価公示","住宅","和歌山市","和歌浦東１丁目５０９番３","和歌浦東１－８－１４","135.1744924","34.19428623","","","","","","","","132,000 ","128,000 ","121,000 ","114,000 ","107,000 ","99,500 ","93,500 ","90,800 ","88,500 ","85,800 ","83,500 ","81,000 ","78,500 ","76,200 ","74,500 ","73,000 "," 71,800 "," 70,800 ","135.174492400487","34.1942862299802","H29地価公示標準地"
"100007","302015","和歌山-7","地価公示","住宅","和歌山市","加太字南仲町１２９４番２","","135.0734693","34.27501796","83,000 ","82,500 ","82,500 ","82,500 ","82,000 ","81,800 ","77,300 ","73,000 ","68,700 ","65,000 ","60,900 ","56,200 ","50,600 ","47,000 ","45,000 ","44,000 ","42,500 ","41,000 ","39,300 ","35,400 ","32,000 ","29,200 ","28,000 "," 26,800 "," 25,800 ","135.073469299885","34.2750179600075","H29地価公示標準地"
"100008","302015","和歌山-8","地価公示","住宅","和歌山市","榎原字鳥掛１３６番２７","","135.132457","34.25434071","130,000 ","130,000 ","132,000 ","129,000 ","128,000 ","125,000 ","114,000 ","104,000 ","95,500 ","87,800 ","80,400 ","74,000 ","67,700 ","63,500 ","61,000 ","60,000 ","58,500 ","56,300 ","53,400 ","51,000 ","48,700 ","47,000 ","45,700 "," 45,000 "," 44,500 ","135.132456999548","34.2543407099883","H29地価公示標準地"
"100011","302015","和歌山-11","地価公示","住宅","和歌山市","西庄字中浜１０３７番４２","","135.1112835","34.25316659","116,000 ","114,000 ","115,000 ","115,000 ","115,000 ","112,000 ","102,000 ","92,800 ","86,200 ","80,000 ","75,500 ","69,000 ","61,500 ","57,000 ","54,500 ","52,000 ","49,500 ","46,300 ","43,600 ","41,200 ","39,000 ","37,600 ","36,600 "," 36,300 "," 36,100 ","135.111283499751","34.2531665899912","H29地価公示標準地"
"100014","302015","和歌山-14","地価公示","住宅","和歌山市","松江東２丁目１０７４番２","松江東２－１－２０","135.1362854","34.24388145","97,200 ","97,000 ","98,000 ","98,000 ","98,000 ","93,000 ","81,500 ","76,000 ","70,400 ","66,000 ","61,700 ","57,000 ","52,000 ","49,000 ","47,000 ","45,900 ","44,100 ","42,200 ","40,300 ","38,500 ","36,700 ","35,600 ","34,500 "," 33,800 "," 33,400 ","135.136285399518","34.2438814500047","H29地価公示標準地"
"100015","302015","和歌山-15*","地価公示","住宅","和歌山市","向字高屋敷４５番１２","","135.1483017","34.25699866","","","","","","","","","","","","","","","","","61,500 ","59,300 ","56,700 ","53,500 ","51,400 ","50,400 ","50,000 "," 49,500 "," 49,100 ","135.148301699762","34.2569986599952","H29地価公示標準地"
